name_alessi,E(B-V),s_E(B-V),A_V_calc,s_A_V_calc,AV50,s_AV50,E(BP-RP),s_E(BP-RP),E(U-B),s_E(U-B),E(U-BP),s_E(U-BP),E(U-G),s_E(U-G),E(U-RP),s_E(U-RP)
ASCC_105,0.12135,0.00659519052838329,0.376185,0.0204450906379882,0.507996805,0.212003195,0.20885,0.0022650635094611,0.0901,0.0051,0.1726,0.0126,0.2601,0.0151,0.3476,0.0475999999999999
ASCC_107,0.4326,0.0130903810567666,1.34106,0.040580181275976464,1.52046615,0.03953385,0.6426,0.0333603367391252,0.3276,0.00760000000000001,0.6551,0.0251,0.9726,0.0126,1.2826,0.0576
ASCC_108,0.14135,0.00424578098794424,0.43818500000000005,0.013161921062627143,0.43545975,0.0645402499999999,0.2351,0.0001,0.1176,0.0026,0.2101,0.0101,0.3076,0.0176,0.4251,0.0301
ASCC_11,0.23635,0.00749509972887452,0.732685,0.02323480915951101,0.824493905,0.0955060950000002,0.35885,0.0109253175473055,0.1951,0.0001,0.3501,0.00510000000000001,0.4701,0.00509999999999998,0.7051,0.0151
ASCC_111,0.2001,0.00363553390593273,0.62031,0.011270155108391463,0.690406005,0.019593995,0.3151,0.0123474487139159,0.1501,0.0001,0.2951,0.0101,0.4201,0.0151,0.5951,0.0351
ASCC_113,0.1176,0.0026,0.36456,0.00806,,,0.1726,0.00259999999999999,0.0551,0.0001,0.1201,0.0001,0.1951,0.0101,0.2976,0.0126
ASCC_114,0.31635,0.0268803566070357,0.9806850000000001,0.08332910548181068,1.07278274,0.01721726,0.45385,0.0130301005409857,0.2351,0.0001,0.4351,0.0201,0.5751,0.0151,0.9126,0.0476
ASCC_115,0.25135,0.00554862367942585,0.7791850000000001,0.017200733406220133,0.92326831,0.12673169,0.39135,0.0152554445662277,0.2176,0.00760000000000001,0.3901,0.0151,0.5276,0.0026,0.7651,0.0401
ASCC_12,0.2576,0.0026,0.79856,0.00806,0.84957541,0.140424590000001,0.3976,0.00760000000000001,0.1876,0.0026,0.3601,0.00510000000000001,0.5226,0.0026,0.7576,0.00760000000000001
ASCC_125,0.8201,0.0001,2.54231,0.00031,3.417376165,0.407376165,1.26135,0.0231149407994024,0.5726,0.00760000000000001,1.1801,0.0401,1.7651,0.0751000000000001,2.3976,0.0826
ASCC_127,0.1301,0.0001,0.40331,0.00031,,,0.25385,0.0171934929139717,0.1126,0.0026,0.2001,0.0201,0.3051,0.0350999999999999,0.4401,0.0451
ASCC_13,0.2226,0.00569016994374948,0.69006,0.017639526825623388,0.65846444,0.04153556,0.3626,0.0109972473588517,0.1351,0.0001,0.2876,0.00759999999999998,0.4426,0.0126,0.6351,0.0251
ASCC_130,0.4726,0.0104077640640441,1.46506,0.03226406859853671,1.86,,0.7351,0.0001,0.1326,0.00760000000000001,0.4376,0.0026,0.7626,0.0376,1.2176,0.0476
ASCC_18,0.07135,0.00749509972887452,0.221185,0.02323480915951101,0.31404941,0.08595059,0.16135,0.00424578098794425,0.0426,0.0026,0.0976,0.0076,0.1451,0.0200999999999999,0.2201,0.0501
ASCC_19,0.05135,0.0239156986040721,0.159185,0.07413866567262352,0.39486479,0.16513521,0.1901,0.0001,0.0226,0.0226,0.0851,0.0201,0.1576,0.0376,0.2401,0.0601
ASCC_2,0.20385,0.00226506350946109,0.631935,0.007021696879329379,0.59355782,0.00355781999999999,0.3051,0.0001,0.1551,0.0001,0.2801,0.00509999999999998,0.4151,0.00510000000000001,0.5901,0.0101
ASCC_20,0.0151,0.0232840462387393,0.046810000000000004,0.07218054334009183,0.3189854,0.2110146,0.0876,0.0026,0.0126,0.0126,0.0501,0.0001,0.0401,0.0401,0.0751,0.0701
ASCC_21,0.0176,0.0026,0.054560000000000004,0.00806,0.363843415,0.226156585,0.0976,0.014461406616345,0.0301,0.0001,0.0476,0.0126,0.0751,0.0251,0.1201,0.0351
ASCC_23,0.11135,0.0022650635094611,0.345185,0.00702169687932941,0.279833965,0.100166035,0.15135,0.0022650635094611,0.0726,0.0026,0.1326,0.00760000000000001,0.2026,0.00759999999999999,0.2951,0.0151
ASCC_29,0.05385,0.00424578098794425,0.166935,0.013161921062627176,0.203308285,0.096691715,0.1176,0.00443012701892219,0.0326,0.00760000000000001,0.0601,0.0051,0.1126,0.0076,0.1676,0.0176000000000001
ASCC_30,0.15135,0.00749509972887452,0.4691850000000001,0.02323480915951101,0.40340229,0.0665977099999999,0.2276,0.00443012701892219,0.1226,0.0026,0.2126,0.0026,0.3101,0.0101,0.4226,0.0126
ASCC_41,0.0601,0.0001,0.18631,0.00031,0.220230365,0.169769635,0.0801,0.00510000000000001,0.0101,0.0101,0.0376,0.00759999999999999,0.0676,0.0226,0.1226,0.0076
ASCC_45,0.49635,0.0022650635094611,1.538685,0.00702169687932941,2.020395985,0.040395985,0.8401,0.0953627944162891,0.0376,0.0376,0.4551,0.0401,0.7901,0.0501,1.3101,0.0851
ASCC_5,0.2651,0.0207155281280883,0.82181,0.06421813719707374,1.018106395,0.158106395,0.41385,0.0022650635094611,0.1976,0.0026,0.3676,0.0176,0.5451,0.00510000000000001,0.8326,0.0326
ASCC_58,0.1001,0.0001,0.31031,0.00031,0.36399121,0.23600879,0.15385,0.0022650635094611,0.0501,0.0001,0.1126,0.0026,0.1751,0.00509999999999999,0.2676,0.0026
ASCC_6,0.2376,0.00569016994374947,0.73656,0.017639526825623357,0.74826695,0.09173305,0.39135,0.0065951905283833,0.1876,0.0026,0.3426,0.00759999999999998,0.5026,0.0126,0.7126,0.0326
ASCC_62,0.2976,0.0026,0.9225599999999999,0.00806,0.8787026,0.0287026,0.48385,0.0109253175473055,0.1826,0.0026,0.3801,0.0001,0.5601,0.0001,0.8601,0.0101
ASCC_65,0.45135,0.00970143218483577,1.399185,0.030074439772990885,,,0.68385,0.0182572988079174,0.2201,0.0001,0.4876,0.0126,0.8026,0.0026,1.2176,0.0676
ASCC_66,0.06385,0.0130301005409857,0.19793500000000003,0.04039331167705567,0.431167815,0.138832185,0.1551,0.0001,0.0526,0.0176,0.1076,0.0126000000000001,0.1776,0.00759999999999999,0.2051,0.0701
ASCC_67,0.20135,0.00226506350946109,0.624185,0.007021696879329379,0.647001425,0.062998575,0.32885,0.0065951905283833,0.1501,0.0001,0.2726,0.0026,0.4101,0.0101,0.5951,0.0001
ASCC_7,0.48635,0.00829679815537751,1.5076850000000002,0.025720074281670283,1.55,,0.7601,0.0107066017177982,0.2851,0.0001,0.6176,0.0026,0.9476,0.0026,1.3701,0.0100999999999999
ASCC_71,0.2101,0.00363553390593274,0.6513100000000001,0.011270155108391494,0.779664515,0.0303354850000001,0.3701,0.0087602540378444,0.1426,0.00259999999999999,0.3001,0.0151,0.4551,0.0201,0.6576,0.0376
ASCC_77,0.22385,0.00424578098794425,0.693935,0.013161921062627176,0.743124565,0.046875435,0.37385,0.0022650635094611,0.1526,0.00760000000000001,0.3076,0.00760000000000001,0.4601,0.0101,0.6626,0.0276
ASCC_79,0.14135,0.0125373429638327,0.43818500000000005,0.03886576318788137,0.74764834,0.12235166,0.3151,0.0213132034355964,0.0851,0.0101000000000001,0.2176,0.0376,0.3801,0.0600999999999999,0.4826,0.0925999999999999
ASCC_8,0.57935,0.00572916512459886,1.7959850000000002,0.017760411886256468,2.9,,0.83635,0.0195855715851499,0.1751,0.0001,0.5626,0.0126,0.9066,0.0386,1.4226,0.0476
ASCC_85,0.17885,0.00424578098794425,0.554435,0.013161921062627176,0.61522446,0.0947755400000002,0.3126,0.00760000000000001,0.1326,0.0026,0.2576,0.0126,0.3926,0.0176,0.5526,0.0326
ASCC_9,0.73385,0.0164458710382775,2.274935,0.050982200218660255,2.519998925,0.0200010749999999,1.06385,0.0195855715851499,0.1701,0.0001,0.7251,0.0001,1.2251,0.00510000000000001,1.7826,0.00760000000000006
ASCC_93,0.02385,0.0139631706330118,0.073935,0.04328582896233658,2.91464156,0.21535844,1.0301,0.00876025403784439,0.1651,0.1651,0.3901,0.3801,0.6226,0.6126,1.0301,0.7551
ASCC_94,0.55135,0.00749509972887453,1.7091850000000002,0.023234809159511045,2.160522195,0.219477805,0.86885,0.0211282548015759,0.2276,0.00759999999999999,0.6151,0.0001,1.0026,0.00760000000000001,1.4726,0.0326
ASCC_95,0.22885,0.0114880419739304,0.709435,0.03561293011918425,1.11272386,0.32727614,0.3826,0.0144614066163451,0.1751,0.00509999999999999,0.3226,0.0026,0.4876,0.0126,0.6676,0.0326
ASCC_99,0.17135,0.00424578098794424,0.531185,0.013161921062627143,0.860419035,0.169580965,0.2926,0.00760000000000001,0.1376,0.0026,0.2526,0.00760000000000001,0.3601,0.0101,0.5276,0.00760000000000001
Alcaeus,0.2201,0.0204100960115899,0.68231,0.06327129763592869,0.9070373,0.2429627,0.36635,0.0231149407994025,0.1401,0.0151,0.3051,0.0101,0.4401,0.0501,0.6251,0.0351
Alessi_1,0.14135,0.00226506350946109,0.43818500000000005,0.007021696879329379,0.34796443,0.14203557,0.1851,0.0118260393995586,0.0801,0.0001,0.1601,0.00510000000000001,0.2276,0.0276,0.3626,0.0126
Alessi_10,0.1376,0.00569016994374947,0.42656,0.017639526825623357,0.553754225,0.216245775,0.2326,0.00443012701892219,0.1001,0.0101,0.1851,0.0101,0.2901,0.0001,0.4001,0.0251
Alessi_116,0.12135,0.0022650635094611,0.376185,0.00702169687932941,0.316250005,0.183749995,0.1376,0.0044301270189222,0.0551,0.0051,0.1151,0.0151,0.1776,0.0276,0.2801,0.0350999999999999
Alessi_118,0.1326,0.00569016994374948,0.41106,0.017639526825623388,0.24422899,0.05577101,0.2251,0.00363553390593274,0.1351,0.0001,0.2101,0.0001,0.3001,0.0001,0.4226,0.0126
Alessi_12,0.09385,0.0022650635094611,0.290935,0.00702169687932941,0.30349169,0.16650831,0.1476,0.00443012701892219,0.0476,0.0026,0.1076,0.0076,0.1751,0.00509999999999999,0.2526,0.0126
Alessi_135,0.19385,0.00424578098794425,0.600935,0.013161921062627176,0.548891985,0.0911080149999998,0.3226,0.00760000000000001,0.1276,0.0026,0.2626,0.00760000000000001,0.4026,0.0126,0.5726,0.0226
Alessi_15,0.54135,0.00749509972887453,1.678185,0.023234809159511045,2.127181665,0.0971816650000001,0.80135,0.0171934929139716,0.0001,0.0001,0.2726,0.0226,0.6151,0.0401,1.1076,0.0426
Alessi_161,0.3526,0.00839156197588851,1.0930600000000001,0.02601384212525438,1.203417635,0.116582365,0.55635,0.0114880419739303,0.2551,0.00510000000000001,0.4901,0.0101,0.7251,0.0201,1.0101,0.0251
Alessi_17,0.45135,0.00902678553567857,1.399185,0.02798303516060357,1.587192235,0.097192235,0.66385,0.0065951905283833,0.0001,0.0001,0.2651,0.0251,0.5626,0.0476,0.9726,0.0826
Alessi_18,0.1676,0.0076,0.51956,0.02356,0.4797726,0.1302274,0.25885,0.0022650635094611,0.1226,0.0076,0.2201,0.00510000000000001,0.3501,0.0151,0.4801,0.0001
Alessi_19,0.1101,0.0272569512280006,0.34131,0.08449654880680187,0.48604864,0.14395136,0.1851,0.00876025403784438,0.0776,0.0076,0.1626,0.0026,0.2176,0.0275999999999999,0.2701,0.0800999999999999
Alessi_2,0.2076,0.00569016994374947,0.64356,0.017639526825623357,0.73123058,0.15876942,0.30135,0.00970143218483577,0.1626,0.0026,0.2901,0.0001,0.4026,0.00759999999999998,0.5976,0.0026
Alessi_20,0.2376,0.00443012701892219,0.73656,0.01373339375865879,1.058504685,0.411495315,0.3876,0.0161078105935821,0.1926,0.00760000000000001,0.3401,0.00509999999999998,0.4776,0.0176,0.7201,0.0201
Alessi_21,0.0601,0.00622372435695795,0.18631,0.019293545506569646,0.181754825,0.0282451749999999,0.14635,0.00659519052838328,0.0426,0.0026,0.0876,0.0176,0.1426,0.0276,0.1976,0.0576
Alessi_24,0.0976,0.00443012701892219,0.30256000000000005,0.01373339375865879,0.30957881,0.15042119,0.1426,0.00443012701892219,0.0551,0.0051,0.1026,0.0026,0.1651,0.00510000000000001,0.2601,0.0201
Alessi_250,0.71135,0.0225652509445143,2.205185,0.06995227792799433,3.20740227,0.00259772999999997,1.0826,0.0044301270189222,0.1801,0.0001,0.6751,0.0201,1.1851,0.0551000000000001,1.8351,0.1001
Alessi_254,0.0001,0.0001,0.00031,0.00031,1.95,,0.0251,0.0001,0.3026,0.0126,0.2426,0.0276000000000001,0.2626,0.0325999999999999,0.2926,0.0476000000000003
Alessi_257,0.6676,0.0115564392373896,2.06956,0.03582496163590776,2.44590517,0.09409483,0.9526,0.0355436171968945,0.3026,0.0026,0.7476,0.0376,1.1976,0.0576,1.7476,0.1176
Alessi_263,0.4626,0.0104077640640441,1.4340600000000001,0.03226406859853671,0.15,,0.6751,0.0001,0.0951,0.00510000000000001,0.3776,0.0276,0.6851,0.0551,1.1276,0.0976000000000001
Alessi_283,0.14885,0.00424578098794425,0.46143500000000004,0.013161921062627176,0.25,,0.24885,0.00554862367942585,0.1326,0.0026,0.2001,0.00509999999999999,0.3026,0.0226,0.4651,0.0201
Alessi_29,0.29135,0.0120242400177118,0.903185,0.03727514405490658,1.033947995,0.106052005000001,0.4451,0.0218944947177034,0.2326,0.00259999999999999,0.4151,0.00510000000000001,0.5751,0.0251,0.8976,0.0376
Alessi_3,0.07385,0.00970143218483573,0.228935,0.030074439772990763,0.213843645,0.106156355,0.10135,0.00226506350946109,0.0276,0.0026,0.0576,0.0076,0.1026,0.0076,0.1926,0.0426
Alessi_33,0.0776,0.0196256241897666,0.24056000000000002,0.06083943498827646,0.35,,0.1276,0.00760000000000001,0.0301,0.0051,0.0726,0.0076,0.1476,0.0126,0.2651,0.0600999999999999
Alessi_34,0.16635,0.0022650635094611,0.5156850000000001,0.00702169687932941,0.737523205,0.182476795,0.3151,0.0001,0.1101,0.0001,0.2201,0.00510000000000001,0.3476,0.00759999999999998,0.5251,0.0201
Alessi_36,0.0701,0.00622372435695795,0.21731,0.019293545506569646,0.381624375,0.238375625,0.12635,0.0022650635094611,0.0251,0.0051,0.0601,0.0051,0.1051,0.0101,0.1951,0.00510000000000001
Alessi_37,0.1601,0.0001,0.49631,0.00031,0.495720665,0.0842793349999998,0.24135,0.0022650635094611,0.1076,0.0026,0.2101,0.0001,0.3151,0.0001,0.4551,0.00510000000000001
Alessi_40,0.3476,0.00911387818865996,1.07756,0.028253022384845877,1.326171365,0.103828635,0.57635,0.0301780235387899,0.2851,0.0101,0.5801,0.0451,0.7551,0.0101,1.0926,0.0526
Alessi_408,0.35135,0.0175553000547112,1.089185,0.05442143016960472,3.58906016,0.23093984,0.66635,0.0152554445662277,0.4176,0.0126,0.6951,0.0401,0.9376,0.0576,1.3101,0.1001
Alessi_41,0.21385,0.0065951905283833,0.662935,0.02044509063798823,0.937200445,0.252799555,0.3351,0.0118260393995586,0.1751,0.0001,0.3001,0.00510000000000001,0.4276,0.00760000000000001,0.6501,0.0251
Alessi_43,0.2051,0.0001,0.63581,0.00031,1.184245285,0.055754715,0.37135,0.00902678553567857,0.1451,0.0001,0.2926,0.0276,0.4126,0.00759999999999998,0.6651,0.0351
Alessi_432,0.3926,0.00760000000000001,1.21706,0.023560000000000032,1.571617305,0.238382694999999,0.5876,0.0044301270189222,0.1751,0.0151,0.4101,0.0201,0.6551,0.0401,1.0326,0.0626
Alessi_443,0.7376,0.0044301270189222,2.28656,0.01373339375865882,2.27890208,0.0310979200000001,1.0251,0.00622372435695791,0.3671,0.0251,0.8526,0.0626,1.2976,0.0576,1.9051,0.0951
Alessi_452,0.6051,0.00622372435695795,1.87581,0.019293545506569646,2.44796578,0.11796578,0.8726,0.00760000000000001,0.0001,0.0001,0.3326,0.00760000000000001,0.7276,0.0176,1.2451,0.0551000000000001
Alessi_49,0.3701,0.00363553390593274,1.14731,0.011270155108391494,1.60151874,0.06151874,0.5726,0.0130903810567666,0.0476,0.0026,0.2801,0.0151,0.5326,0.00760000000000001,0.8526,0.0226
Alessi_5,0.1276,0.0076,0.39555999999999997,0.02356,0.62636538,0.22363462,0.27635,0.0065951905283833,0.0826,0.0126,0.1926,0.0326,0.2976,0.0426000000000003,0.4176,0.0876
Alessi_50,0.0001,0.0001,0.00031,0.00031,1.95,,0.0251,0.0001,0.3026,0.0126,0.2426,0.0276000000000001,0.2626,0.0325999999999999,0.2926,0.0476000000000003
Alessi_52,0.4676,0.0115564392373896,1.4495600000000002,0.03582496163590776,1.860968965,0.179031035,0.7126,0.0130903810567666,0.2951,0.0101,0.6026,0.0176,0.9026,0.0426,1.3276,0.0226000000000001
Alessi_58,0.7776,0.0310232921921325,2.41056,0.09617220579561074,2.910489265,0.0304892650000002,1.1876,0.0189745860881769,0.2876,0.0576000000000001,0.9001,0.0351,1.4876,0.0126,2.1176,0.0126
Alessi_59,0.3501,0.00800569415042094,1.08531,0.024817651866304916,1.42899868,0.01100132,0.50135,0.0022650635094611,0.0001,0.0001,0.2026,0.0176,0.4076,0.0476000000000002,0.7576,0.0726
Alessi_6,0.2276,0.00759999999999999,0.70556,0.02355999999999997,0.779877535,0.110122465,0.32885,0.0130301005409857,0.1751,0.0001,0.3001,0.0101,0.4376,0.0176,0.6551,0.0351
Alessi_60,0.25885,0.00424578098794425,0.8024350000000001,0.013161921062627176,0.6497853,0.1702147,0.42385,0.0109253175473055,0.1876,0.0026,0.3526,0.00760000000000001,0.5176,0.0026,0.7726,0.0176
Alessi_62,0.23885,0.00970143218483576,0.7404350000000001,0.03007443977299086,0.982664945,0.117335055000001,0.33635,0.00970143218483576,0.1776,0.0026,0.3326,0.0026,0.4576,0.0026,0.6901,0.0151
Alessi_65,0.4076,0.0104077640640441,1.26356,0.03226406859853671,1.45378801,0.0237880100000001,0.5776,0.0304108891324553,0.0001,0.0001,0.1251,0.0351,0.3876,0.0876000000000002,0.7776,0.1226
Alessi_72,0.1601,0.00363553390593274,0.49631,0.011270155108391494,0.60248859,0.0775114099999999,0.2501,0.0001,0.1001,0.0001,0.1926,0.0026,0.3001,0.0101,0.4476,0.00760000000000001
Alessi_76,0.3901,0.00622372435695795,1.20931,0.019293545506569646,1.32878913,0.04878913,0.5976,0.0193028643696715,0.2526,0.0026,0.5101,0.0101,0.7576,0.00760000000000001,1.0926,0.0326
Alessi_8,0.07385,0.0164458710382775,0.228935,0.050982200218660255,0.419337815,0.150662185,0.17385,0.0082967981553775,0.0376,0.0126,0.1176,0.0176,0.1676,0.0326,0.2201,0.0951
Alessi_80_A,0.23385,0.00749509972887452,0.724935,0.02323480915951101,0.8489725,0.1510275,0.40135,0.0130301005409857,0.1601,0.00510000000000001,0.3301,0.0151,0.5001,0.0101,0.7126,0.0376
Alessi_80_B,0.1876,0.00569016994374948,0.58156,0.017639526825623388,0.84100831,0.19899169,0.32135,0.0022650635094611,0.1226,0.0026,0.2476,0.0026,0.3701,0.00510000000000001,0.5476,0.0176
Alessi_83,0.1926,0.00911387818865997,0.59706,0.028253022384845908,,,0.3051,0.0087602540378444,0.1276,0.0026,0.2676,0.0126,0.3951,0.0201,0.5451,0.0451
Alessi_87,0.24385,0.00424578098794425,0.755935,0.013161921062627176,0.87967843,0.06032157,0.3901,0.0001,0.1701,0.0001,0.3326,0.0026,0.4951,0.0001,0.7101,0.0151
Alessi_9,0.05885,0.00554862367942584,0.182435,0.017200733406220105,0.302755985,0.187244015,0.0926,0.0044301270189222,0.0076,0.0026,0.0276,0.0126,0.0701,0.0151,0.1351,0.0250999999999999
Alessi_95,0.3276,0.00760000000000001,1.01556,0.023560000000000032,1.25235238,0.04764762,0.4501,0.00363553390593274,0.2726,0.00760000000000001,0.4951,0.00510000000000001,0.7201,0.0001,0.9676,0.0176
Alessi_96,0.18635,0.00554862367942585,0.577685,0.017200733406220133,0.69092485,0.32907515,0.26635,0.0022650635094611,0.1251,0.0001,0.2401,0.0101,0.3601,0.00510000000000001,0.5226,0.0276
Alessi_98,0.3251,0.0197850196850295,1.00781,0.06133356102359145,1.67954844,0.250451559999999,0.52135,0.00970143218483577,0.3201,0.0001,0.5551,0.0101,0.7501,0.0301,1.0526,0.0376000000000001
Alessi-Teutsch_1,0.2576,0.0026,0.79856,0.00806,0.93,,0.3951,0.0146773797371133,0.2201,0.0001,0.3951,0.00510000000000001,0.5426,0.0026,0.7901,0.0201
Alessi-Teutsch_11,0.0776,0.00443012701892219,0.24056000000000002,0.01373339375865879,0.28214061,0.17785939,0.1101,0.00363553390593274,0.0401,0.0001,0.0801,0.00510000000000001,0.1351,0.00510000000000001,0.1976,0.00759999999999999
Alessi-Teutsch_12,0.0826,0.0026,0.25606,0.00806,0.31158621,0.10841379,0.18385,0.00424578098794425,0.0476,0.00759999999999999,0.1101,0.0201,0.1851,0.0351,0.2651,0.0451
Alessi-Teutsch_3,0.1501,0.0001,0.46531000000000006,0.00031,0.625631685,0.114368315,0.27635,0.00902678553567854,0.0976,0.0026,0.2051,0.0151,0.3126,0.0026,0.4801,0.0301
Alessi-Teutsch_5,0.31135,0.0065951905283833,0.9651850000000001,0.02044509063798823,1.160985905,0.249014095,0.4901,0.00622372435695795,0.2326,0.00759999999999999,0.4301,0.0001,0.6301,0.00510000000000001,0.8976,0.0176
Alessi-Teutsch_7,0.08635,0.00424578098794425,0.267685,0.013161921062627176,0.307972515,0.102027485,0.1651,0.0001,0.0676,0.0076,0.1226,0.0076,0.1876,0.00760000000000001,0.2701,0.0251
Alessi-Teutsch_8,0.1476,0.00443012701892219,0.45756,0.01373339375865879,0.475823635,0.00582363500000002,0.2701,0.00622372435695795,0.1126,0.0026,0.2151,0.0151,0.3251,0.0151,0.4676,0.0376
Alessi-Teutsch_9,0.2051,0.00622372435695794,0.63581,0.019293545506569615,0.795987675,0.0940123249999995,0.33635,0.0139631706330118,0.1726,0.00259999999999999,0.3076,0.00760000000000001,0.4701,0.0401,0.6101,0.0351
Alicante_1,0.5126,0.00760000000000001,1.58906,0.023560000000000032,1.653449425,0.0565505749999999,0.74885,0.0109253175473055,0.1976,0.0225999999999998,0.5226,0.0126,0.8401,0.0451,1.3201,0.0551000000000001
Alicante_2,0.39885,0.0244349029174147,1.236435,0.07574819904398558,3.876178815,0.0238211849999999,0.77885,0.0109253175473055,0.1026,0.0125999999999999,0.4176,0.0026,0.7276,0.0426,1.1226,0.0876
Alicante_6,0.0151,0.0001,0.046810000000000004,0.00031,0.0,0.0,0.0351,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
Anon_0103+61,0.6176,0.0044301270189222,1.9145600000000003,0.01373339375865882,1.953506235,0.116493765,0.9126,0.0044301270189222,0.3651,0.00510000000000001,0.7601,0.0001,1.1476,0.00760000000000006,1.6701,0.0001
Antalova_2,0.38385,0.00970143218483577,1.1899350000000002,0.030074439772990885,1.91774183,0.322258169999999,0.6101,0.0001,0.2701,0.00510000000000001,0.5176,0.0026,0.7776,0.0126,1.1526,0.0176
Apriamasvili_1,0.43885,0.0130301005409858,1.360435,0.04039331167705598,1.890699725,0.319300275,0.6851,0.00622372435695791,0.2926,0.0026,0.5976,0.0126,0.8751,0.0101,1.2226,0.0526
Arp-Madore_2,0.3826,0.00760000000000001,1.1860600000000001,0.023560000000000032,1.447081295,0.137081295,0.61135,0.0195855715851499,0.1201,0.0101,0.3626,0.00760000000000001,0.6826,0.00759999999999995,0.9826,0.0126
Auner_1,0.3426,0.0135629120178363,1.06206,0.04204502725529253,1.305825055,0.305825055,0.4451,0.183607493035026,0.1476,0.00759999999999999,0.3976,0.0026,0.3276,0.2476,0.9476,0.0176
Aveni-Hunter_1,0.06635,0.00424578098794425,0.20568500000000003,0.013161921062627176,0.64830521,0.18169479,0.1651,0.00622372435695795,0.0451,0.0051,0.0901,0.0101000000000001,0.1526,0.0226,0.2276,0.0476
BBJ_5,0.06635,0.0244349029174147,0.20568500000000003,0.07574819904398558,0.52737133,0.17262867,0.10385,0.00226506350946109,0.0326,0.0026,0.0626,0.0026,0.1351,0.0351,0.2126,0.0475999999999999
BBJ_6,0.13135,0.00902678553567856,0.407185,0.027983035160603534,0.345807895,0.0458078950000002,0.21135,0.00829679815537751,0.0851,0.0001,0.1551,0.00510000000000001,0.2801,0.0101,0.3676,0.0126
BDB_160,0.3551,0.0101,1.10081,0.03131,2.65,,0.5976,0.0193028643696715,0.2001,0.0101,0.4551,0.0101,0.6751,0.0301,1.0001,0.0751
BDB_162,0.6026,0.0161078105935821,1.86806,0.04993421284010451,2.17784002,0.12215998,0.9201,0.0184711730708738,0.3501,0.0101,0.7701,0.0001,1.1901,0.00510000000000001,1.6701,0.0151
BDB_191,0.34385,0.00424578098794423,1.065935,0.013161921062627114,1.29155691,0.11844309,0.5401,0.0001,0.2701,0.0001,0.4851,0.0001,0.7026,0.00760000000000001,1.0251,0.0001
BDB_214,0.04885,0.0022650635094611,0.151435,0.00702169687932941,,,0.86635,0.0195855715851499,0.1926,0.1926,0.3951,0.3951,0.5926,0.5926,0.8276,0.8276
BDB_250,0.53885,0.0231149407994024,1.6704350000000001,0.07165631647814744,3.61679113,0.23679113,0.9151,0.0283842712474619,0.2901,0.00510000000000001,0.7176,0.00760000000000001,1.0926,0.0276000000000001,1.5776,0.0626
BDSB_10,0.6451,0.0281624304008046,1.99981,0.08730353424249426,4.697512325,0.0775123249999998,1.7326,0.0459938993767145,0.4901,0.1151,1.2426,0.3676,1.9026,0.6126,2.5676,0.7926
BDSB_30,0.2476,0.0104077640640442,0.76756,0.032264068598537025,2.973979055,0.103979055,1.0551,0.0001,0.2926,0.1676,0.6576,0.3576,0.9626,0.4926,1.3876,0.6826
BDSB_37,0.33635,0.0171934929139717,1.042685,0.05329982803331228,2.805832575,0.155832575,0.6851,0.00876025403784435,0.0851,0.0051,0.3426,0.0176,0.6151,0.0451,0.9676,0.0876
BDSB_46,0.32635,0.0233849200127464,1.011685,0.07249325203951384,2.91182757,0.0218275699999999,0.7051,0.0001,0.1576,0.0126,0.4226,0.0226,0.6951,0.0700999999999993,1.0526,0.1026
BDSB_68,0.17385,0.00424578098794424,0.538935,0.013161921062627143,1.17,,0.30635,0.0065951905283833,0.1176,0.0026,0.2376,0.00759999999999999,0.3601,0.00510000000000001,0.5226,0.0326
BDSB_74,0.3601,0.00717106781186548,1.11631,0.022230310216782987,1.275371065,0.0146289350000001,0.5426,0.0109972473588517,0.2426,0.00760000000000001,0.4701,0.0101,0.7101,0.00510000000000001,1.0151,0.0151
BDSB_8,0.5726,0.0226,1.77506,0.07006,5.01270334,0.0672966600000002,1.0851,0.0693820323027551,0.3726,0.0626,0.8901,0.1251,1.1801,0.0001,1.9701,0.1701
BDSB_82,0.5001,0.00510000000000001,1.55031,0.015810000000000032,2.2310597,0.0789403,0.7251,0.00622372435695795,0.0001,0.0001,0.2826,0.0226,0.5876,0.0476,1.0401,0.0601000000000001
BDSB_85,0.34635,0.0144069039278245,1.073685,0.04466140217625595,1.8,,0.5201,0.0260807621135331,0.0001,0.0001,0.0001,0.0001,0.2226,0.0476,0.5976,0.0926000000000002
BDSB_87,0.2851,0.0118260393995586,0.8838100000000001,0.03666072213863166,0.22,,0.15935,0.00139903810567666,0.1001,0.1001,0.2051,0.2051,0.3051,0.2451,0.4851,0.3551
BDSB_96,0.19635,0.0152554445662277,0.608685,0.047291878155305875,0.89444383,0.07444383,0.28385,0.0164458710382775,0.1451,0.0001,0.2551,0.0151,0.3526,0.00760000000000001,0.5576,0.0426
BH_110,0.4151,0.0560016994374947,1.28681,0.17360526825623357,0.97,,0.92885,0.0303851035989643,0.0001,0.0001,0.2851,0.0201,0.5826,0.1226,1.0851,0.145099999999999
BH_118,0.07885,0.00970143218483577,0.244435,0.030074439772990885,0.05,,0.1426,0.0161078105935821,0.0401,0.0151,0.0651,0.0001,0.1126,0.0026,0.2376,0.0376000000000001
