name_alessi,E(B-V),s_E(B-V),A_V_calc,s_A_V_calc,AV50,s_AV50,E(BP-RP),s_E(BP-RP),E(U-B),s_E(U-B),E(U-BP),s_E(U-BP),E(U-G),s_E(U-G),E(U-RP),s_E(U-RP)
M_6,0.14635,0.00424578098794424,0.45368500000000006,0.013161921062627143,0.96249141,0.58750859,0.2626,0.0026,0.1001,0.0051,0.2026,0.0126,0.3051,0.0151,0.4426,0.0376
M_67,0.08135,0.0022650635094611,0.25218500000000005,0.00702169687932941,,,0.09135,0.0022650635094611,0.0576,0.0026,0.0876,0.0126,0.1376,0.0175999999999999,0.1951,0.0301
M_68,0.1401,0.0118260393995586,0.43431000000000003,0.03666072213863166,0.02,0.0,0.2851,0.0210165006633519,0.0001,0.0001,0.0076,0.0076,0.1251,0.0351,0.2951,0.0300999999999997
M_7,0.10385,0.00424578098794425,0.321935,0.013161921062627176,0.57911401,0.37088599,0.1551,0.00363553390593274,0.0526,0.0026,0.1101,0.00510000000000001,0.1701,0.0101,0.2776,0.0176
M_71,0.2151,0.00717106781186548,0.66681,0.022230310216782987,0.663541195,0.103541194999999,0.35385,0.00970143218483577,0.1201,0.0101,0.2626,0.0126,0.4301,0.0201,0.6101,0.0151
M_8,0.24885,0.0208289049397213,0.771435,0.06456960531313603,1.48810038,0.01189962,0.4376,0.0747240577829964,0.0401,0.0401,0.2526,0.0276,0.4576,0.0276,0.3376,0.2076
M_80,0.21635,0.00970143218483577,0.670685,0.030074439772990885,0.28,0.0,0.41385,0.0125373429638327,0.0726,0.0026,0.2651,0.0101,0.3976,0.0276,0.6776,0.0226
MLG_1,0.2201,0.00510000000000001,0.68231,0.015810000000000032,1.134393785,0.065606215,0.38385,0.0109253175473055,0.1476,0.0026,0.3101,0.0001,0.4451,0.0101,0.6926,0.00759999999999995
MQI_Cl_49.3,0.7076,0.0044301270189222,2.19356,0.01373339375865882,2.24093916,0.17906084,0.99385,0.0109253175473055,0.4951,0.0201,0.9751,0.00510000000000001,1.4001,0.0151,1.9726,0.00759999999999995
Majaess_107,0.3801,0.0213132034355964,1.17831,0.06607093065034884,3.09730848,0.0473084800000001,0.71635,0.023915698604072,0.0076,0.0026,0.3151,0.0301,0.5576,0.0176,0.9751,0.1001
Majaess_151,0.39635,0.0132029576813787,1.228685,0.04092916881227397,3.35595242,0.15595242,0.82385,0.153819509171738,0.3211,0.0440999999999999,0.4586,0.0036,0.8151,0.00509999999999995,1.2376,0.00259999999999995
Majaess_90,0.12885,0.0082967981553775,0.399435,0.025720074281670252,0.86808024,0.43191976,0.2251,0.0001,0.0326,0.0026,0.1026,0.0125999999999999,0.1976,0.00759999999999999,0.3601,0.0251
Majaess_99,0.4376,0.021750635094611,1.35656,0.0674269687932941,1.54952448,0.13047552,0.64635,0.0152554445662277,0.2976,0.00760000000000001,0.6176,0.0176,0.8776,0.0226,1.2851,0.0301
Mamajek_10,0.12635,0.00749509972887452,0.391685,0.02323480915951101,0.73624722,0.26375278,0.2126,0.0044301270189222,0.0951,0.0001,0.1726,0.00259999999999999,0.2576,0.0176,0.3501,0.0301
Mamajek_11,0.1076,0.0161078105935821,0.33356,0.04993421284010451,0.72,,0.22135,0.0325759526419164,0.0451,0.0101,0.1501,0.0101,0.2226,0.0426,0.3301,0.0701
Mamajek_13,0.68635,0.0144069039278245,2.127685,0.04466140217625595,1.65,,0.1306,0.0265244205234476,0.1926,0.1926,0.4401,0.4401,0.6676,0.6676,0.9451,0.9451
Mamajek_18,0.6351,0.0001,1.96881,0.00031,1.88966925,0.05966925,1.00385,0.00226506350946105,0.4401,0.0301,0.8926,0.0476,1.2951,0.0600999999999999,1.8576,0.0876
Mamajek_2,0.1851,0.00363553390593274,0.5738099999999999,0.011270155108391494,0.913187035,0.166812965,0.30885,0.0327678358634299,0.1151,0.0051,0.2501,0.0101,0.3076,0.0426,0.5601,0.0351
Markarian_38,0.2626,0.00569016994374948,0.81406,0.017639526825623388,1.290371555,0.309628445,0.45385,0.00902678553567857,0.1926,0.0026,0.3676,0.0026,0.5476,0.0126,0.8051,0.0201
Markarian_38_B,0.2626,0.00569016994374948,0.81406,0.017639526825623388,1.290371555,0.309628445,0.45385,0.00902678553567857,0.1926,0.0026,0.3676,0.0026,0.5476,0.0126,0.8051,0.0201
Markarian_50,0.60135,0.0120242400177118,1.8641850000000002,0.03727514405490658,2.324990565,0.0849905649999998,0.88885,0.0182572988079175,0.0876,0.0026,0.4926,0.0126,0.9251,0.0101,1.4201,0.0600999999999999
Mayer_1,0.46135,0.00902678553567854,1.430185,0.027983035160603475,1.604403995,0.0544039949999999,0.7151,0.0118260393995586,0.2626,0.0026,0.5476,0.00760000000000001,0.8776,0.0126,1.3001,0.0451
Mayer_3,0.4076,0.00759999999999998,1.26356,0.02355999999999994,3.56512626,0.14512626,0.7026,0.0130903810567665,0.1626,0.0026,0.4801,0.00510000000000001,0.7551,0.0151,1.1651,0.0301
Melnik-Efremov_2,0.29135,0.00554862367942585,0.903185,0.017200733406220133,0.92462691,0.18537309,0.46885,0.0103316909648405,0.1926,0.0026,0.3701,0.00510000000000001,0.5751,0.0001,0.8451,0.0001
Melnik-Efremov_4,0.52385,0.0152554445662277,1.6239350000000001,0.047291878155305875,1.7617204,0.0782796,0.84135,0.0585567147554496,0.3276,0.00760000000000001,0.7251,0.0401,1.0951,0.0251,1.5526,0.0875999999999999
Melotte_101,0.3026,0.00839156197588851,0.93806,0.02601384212525438,1.080268085,0.049731915,0.4951,0.00717106781186548,0.2151,0.0001,0.4101,0.00509999999999998,0.6176,0.0026,0.8876,0.0226
Melotte_105,0.37885,0.0130301005409858,1.1744350000000001,0.04039331167705598,1.284222585,0.055777415,0.6276,0.0144614066163451,0.2476,0.0026,0.5026,0.00760000000000001,0.7651,0.0151,1.0951,0.0501000000000001
Melotte_186,0.1351,0.00622372435695795,0.41881,0.019293545506569646,0.659633355,0.250366645,0.24385,0.00554862367942585,0.0901,0.0051,0.1901,0.0101,0.2851,0.0201,0.4026,0.0426000000000004
Melotte_20,0.1001,0.0051,0.31031,0.01581,0.491165415,0.248834585,0.1901,0.0001,0.0526,0.00760000000000002,0.1201,0.0051,0.1951,0.0001,0.2901,0.0251
Melotte_71,0.2001,0.00622372435695794,0.62031,0.019293545506569615,0.338586015,0.171413985,0.26385,0.00554862367942585,0.1351,0.00510000000000001,0.2476,0.0026,0.3601,0.0151,0.5401,0.0301
Melotte_72,0.1951,0.0118260393995586,0.60481,0.03666072213863166,0.2692474,0.1307526,0.23385,0.00970143218483576,0.1251,0.0101,0.2226,0.00760000000000001,0.3351,0.0251,0.5126,0.0675999999999999
Mercer_32,0.2101,0.0177776695296637,0.6513100000000001,0.05511077554195747,3.729081425,0.590918574999998,0.57385,0.0109253175473054,0.0901,0.0051,0.2726,0.0376000000000002,0.4976,0.0876,0.7701,0.1201
Mercer_41,1.25135,0.0348086084422871,3.879185,0.10790668617109002,4.262109575,0.142109575,1.7826,0.0355436171968945,0.5651,0.00509999999999995,1.6001,0.00510000000000001,2.6101,0.0450999999999999,3.4651,0.0851
Mercer_64,0.68635,0.0109253175473054,2.127685,0.03386848439664674,2.79,,1.07135,0.0482371737849243,0.4701,0.00509999999999998,0.9926,0.00760000000000001,1.5201,0.0751,2.0276,0.0376
Messineo_1,0.71285,0.0113998893799895,2.209835,0.03533965707796745,2.66,,0.7276,0.016493596310755,0.2726,0.0176,0.6926,0.1376,1.0806,0.2256,1.6626,0.3676
Miller_1,0.4576,0.0109972473588517,1.41856,0.03409146681244027,1.42101523,0.18101523,0.70135,0.0195855715851499,0.2301,0.0001,0.5201,0.0201,0.8526,0.0126,1.2251,0.0351
